,id_aspirante,nombres_aspirante,apellidos_aspirante,correo_aspirante,genero,telefono_aspirante,fecha_nacimiento,estado_aspirante
0,047129b0-6944-11ed-b3d8-0242ac1c0002,Primitivo Buenaventura,Aznar Quirós,primitivo.aznar@hotmail.com,M,0965534154,1999-04-18,Activo
1,04712d84-6944-11ed-b3d8-0242ac1c0002,Javier Juan Francisco,Cuevas Tomé,javier.cuevas@hotmail.com,M,0948674940,2004-09-07,Inactivo
2,047134d2-6944-11ed-b3d8-0242ac1c0002,Amor Geraldo,Gracia Blazquez,amor.gracia@hotmail.com,M,0908673054,1982-07-20,Activo
3,047135ae-6944-11ed-b3d8-0242ac1c0002,Malena Salud,Plaza Gordillo,malena.plaza@hotmail.com,F,0973074214,2005-07-13,Activo
4,04713978-6944-11ed-b3d8-0242ac1c0002,Clementina Imelda,Borrell Hervás,clementina.borrell@hotmail.com,F,0955625798,2002-10-12,Inactivo
5,0472394a-6944-11ed-b3d8-0242ac1c0002,Teodosio Miguel,Hierro Dalmau,teodosio.hierro@hotmail.com,M,0954121558,2002-12-13,Activo
6,04723a08-6944-11ed-b3d8-0242ac1c0002,Conrado Chema,Pizarro Miranda,conrado.pizarro@hotmail.com,M,0957073187,1985-10-30,Activo
7,04723a8a-6944-11ed-b3d8-0242ac1c0002,Bartolomé Jose Carlos,Zaragoza Riquelme,bartolomé.zaragoza@hotmail.com,M,0942476622,2006-09-06,Activo
8,04723b02-6944-11ed-b3d8-0242ac1c0002,Anabel Amaya,Fábregas Pallarès,anabel.fábregas@hotmail.com,F,0935410525,2006-08-12,Activo
9,04723b84-6944-11ed-b3d8-0242ac1c0002,Rosaura Graciela,Salas Peinado,rosaura.salas@hotmail.com,F,0942078275,1981-05-05,Inactivo
10,04723bfc-6944-11ed-b3d8-0242ac1c0002,Asunción Cruz,Marín Larrea,asunción.marín@hotmail.com,F,0923898252,1988-09-11,Activo
11,04723c74-6944-11ed-b3d8-0242ac1c0002,Estela Clementina,Agudo Alcántara,estela.agudo@hotmail.com,F,0979912986,1986-03-26,Activo
